iteration,candidate,w_drag,w_thermal,w_thrust,w_tau_xy,w_tau_yaw,cost,rms_standard_m,rms_temperature_m,rms_dust_m,max_standard_m,max_temperature_m,max_dust_m
1,1,0.8,0.9,0.95,0.9,0.9,0.443956930463308,0.0856659822245833,0.111309278212078,0.0857533381375764,0.448116251124869,0.448116251124869,0.448116251124869
1,2,1,1,1,1,1,0.431434238912126,0.0856659822245833,0.0983949137143645,0.085674638027088,0.448116251124869,0.448116251124869,0.448116251124869
1,3,0,0,0,0,0,0.722354459960421,0.0856659822245833,0.265984820251441,0.114340365229745,0.448116251124869,0.448116251124869,0.448116251124869
1,4,0.732159556043558,1.2640447450501,0.962190318184991,0.375474862506708,0.85615701769596,0.478554934236071,0.0856659822245833,0.13236389763253,0.0857269572987987,0.448116251124869,0.448116251124869,0.448116251124869
1,5,1.03323395886865,0.943083377726972,0.820934806746909,0.598695847123673,0.665766210426376,0.443520644425929,0.0856659822245833,0.103229088256526,0.0866557514450782,0.448116251124869,0.448116251124869,0.448116251124869
1,6,0.744264505895213,0.896700466696469,0.592268139532058,1.16839646937143,0.318284571045998,0.506036156781202,0.0856659822245833,0.143708182076012,0.0906901044891076,0.448116251124869,0.448116251124869,0.448116251124869
1,7,1.45921195076635,0.607861015546456,1.30904592326546,1.01315070812108,1.25888109675402,0.602387347016997,0.0856659822245833,0.201534050055494,0.0883960800069845,0.448116251124869,0.448116251124869,0.448116251124869
1,8,0.836642677649563,0.686112355936362,0.340222798797542,0.679699810976148,0.997831478340802,0.544406069869108,0.0856659822245833,0.1608577030869,0.0985136116863943,0.448116251124869,0.448116251124869,0.448116251124869
1,9,0.389830587936467,0.461514688931275,1.06321177368718,1.15791304713691,0.674329778422247,0.616429688866404,0.0856659822245833,0.220297879133114,0.0857883228945134,0.448116251124869,0.448116251124869,0.448116251124869
1,10,0.885593897737846,1.33673605700965,1.58483831947227,0.842681679666604,1.05843870789475,0.477078600941836,0.0856659822245833,0.121014746871784,0.0948846816273585,0.448116251124869,0.448116251124869,0.448116251124869
1,11,0.8859461312163,0.376479400979359,1.037266495855,1.38996842236599,1.29765309058523,0.555574940701646,0.0856659822245833,0.177945612348331,0.0857099255683692,0.448116251124869,0.448116251124869,0.448116251124869
1,12,0.727946963754129,1.33735610884226,0.835563895685526,0.919631366764722,0.487489574689537,0.52998038552638,0.0856659822245833,0.162437033391204,0.0864993734633391,0.448116251124869,0.448116251124869,0.448116251124869
1,13,1.0079322655874,1.521515256467,1.05522587739262,1.15440001083223,0.799233178215852,0.493860361268615,0.0856659822245833,0.13596070951684,0.0857607556953685,0.448116251124869,0.448116251124869,0.448116251124869
1,14,0.402160412273041,0.463455957245335,1.27172061392041,1.14488586543753,1.47078384110001,0.673604665249716,0.0856659822245833,0.25715847238614,0.0877892586163155,0.448116251124869,0.448116251124869,0.448116251124869
2,1,0.89019748253001,1.08877283595735,1.06359268888083,0.743370477859397,0.896072387203417,0.433454730650717,0.0856659822245833,0.1036280428189,0.085794395996112,0.448116251124869,0.448116251124869,0.448116251124869
2,2,1,1,1,1,1,0.431434238912126,0.0856659822245833,0.0983949137143645,0.085674638027088,0.448116251124869,0.448116251124869,0.448116251124869
2,3,0,0,0,0,0,0.722354459960421,0.0856659822245833,0.265984820251441,0.114340365229745,0.448116251124869,0.448116251124869,0.448116251124869
2,4,0.854855671685831,1.12057144957478,1.20983457550914,0.87717635591142,0.785636588561756,0.44513912863668,0.0856659822245833,0.10925861155044,0.0869483286281301,0.448116251124869,0.448116251124869,0.448116251124869
2,5,0.923640618504172,1.12847074101223,0.534968527537404,0.770580121694031,1.08197223570671,0.580076064851968,0.0856659822245833,0.18792863697663,0.0921776968960012,0.448116251124869,0.448116251124869,0.448116251124869
2,6,1.22832479235838,0.959653852251394,1.18133222117546,0.974394008819985,0.85117308139934,0.467788310838214,0.0856659822245833,0.113619850148463,0.0866278606102393,0.448116251124869,0.448116251124869,0.448116251124869
2,7,0.899338344361378,0.855903252857739,0.91643595301131,0.808600506537051,0.744196849927205,0.434007516760861,0.0856659822245833,0.103429125620398,0.0858910124403162,0.448116251124869,0.448116251124869,0.448116251124869
2,8,0.627684935046656,0.936695079421902,1.14906967346947,0.334451920534264,1.05650576848336,0.495355752232397,0.0856659822245833,0.141345482402064,0.0863281794503221,0.448116251124869,0.448116251124869,0.448116251124869
2,9,0.92290516842375,1.1474390311822,1.41775478421324,0.925567165622449,0.997769173262314,0.473357907400183,0.0856659822245833,0.120783194598643,0.0905505975107414,0.448116251124869,0.448116251124869,0.448116251124869
2,10,0.825686769930595,1.26145933732121,1.6,0.195930063186109,0.914269047975097,0.501506493468354,0.0856659822245833,0.136036048260816,0.0953402258995299,0.448116251124869,0.448116251124869,0.448116251124869
2,11,0.967793714455908,0.947778535987517,0.983373726771054,0.801815866550192,0.917288506193083,0.43137270943791,0.0856659822245833,0.0996967493867172,0.0856860314673285,0.448116251124869,0.448116251124869,0.448116251124869
2,12,0.735600535569475,1.21578151750199,1.14923538837885,0.325260629862146,0.928399115465341,0.456438067409018,0.0856659822245833,0.117819134424474,0.0863297295412394,0.448116251124869,0.448116251124869,0.448116251124869
2,13,0.90297162289572,1.21291315663647,1.6,0.36657138636204,0.846885194385813,0.507494881580144,0.0856659822245833,0.13807834017754,0.0953381924665905,0.448116251124869,0.448116251124869,0.448116251124869
2,14,1.10147546558185,1.07822335520377,0.73182905195252,0.692748309781984,1.02431794656572,0.490628438697745,0.0856659822245833,0.129987572891311,0.0878625219923831,0.448116251124869,0.448116251124869,0.448116251124869
3,1,0.922437042606626,1.00260521487548,1.03464738883447,0.846192641371612,0.868638866377092,0.432385071248064,0.0856659822245833,0.101973826250761,0.0857103439792964,0.448116251124869,0.448116251124869,0.448116251124869
3,2,1,1,1,1,1,0.431434238912126,0.0856659822245833,0.0983949137143645,0.085674638027088,0.448116251124869,0.448116251124869,0.448116251124869
