model_type,model_label,controller_type,controller_label,rms_position_error_m,steady_rms_position_error_m,max_position_error_m,final_position_error_m,max_altitude_error_m,mean_rotor_speed_rad_s,max_tilt_command_rad,mean_control_effort_rad_s,min_air_density_kg_m3,max_temperature_rise_K,max_wind_speed_m_s,max_dust_concentration_kg_m3,min_eta_T
standard,标准模型,baseline,原控制器,0.0856659822245832,0.0153460954524978,0.448116251124868,0.00688077617108289,0.00123531100885188,553.807303639831,0.116089977792644,0.0667351796318083,1.225,0,0,0,1
standard,标准模型,rl,强化学习策略,0.0856659822245832,0.0153460954524978,0.448116251124868,0.00688077617108289,0.00123531100885188,553.807303639831,0.116089977792644,0.0667351796318083,1.225,0,0,0,1
temperature,温度扰动模型,baseline,原控制器,0.265984820251442,0.280672212763884,0.448116251124868,0.287938937672495,0.108247329784835,564.415036560705,0.116089977792644,0.167635390785957,1.02865729272913,55,2.30054341406547,0,1
temperature,温度扰动模型,rl,强化学习策略,0.0995181555651972,0.0551261008720373,0.448116251124868,0.0280484495966946,0.0092966940251884,564.427876332672,0.116089977792644,0.160003081729662,1.02865729272913,55,2.30054341406547,0,1
dust,粉尘扰动模型,baseline,原控制器,0.114340365229745,0.0841213055107722,0.448116251124868,0.0740844846196106,0.102986737570542,563.804455273701,0.116089977792644,0.155007645842873,1.225,0,0,0.01,0.958021749648934
dust,粉尘扰动模型,rl,强化学习策略,0.08569967642655,0.0155165700482356,0.448116251124868,0.00710521721609957,0.00646578581367629,563.807286688974,0.116089977792644,0.154463130145262,1.225,0,0,0.01,0.958021749648934
