iteration,candidate,candidate_wall_seconds,cost,preview_blend,feedforward_blend,learned_blend,bias_ax,bias_ay,bias_az,bias_thrust,bias_tau,acc_scale,thrust_scale,tau_scale,rms_standard_m,rms_temperature_m,rms_dust_m,steady_standard_m,steady_temperature_m,steady_dust_m,effort_standard,effort_temperature,effort_dust
1,1,2.774483,0.742989309354625,0.05,0.05,1,0,0,0,0,0,1,1,1,0.0856659822245833,0.0857509230641397,0.0862960634883967,0.0153460954524987,0.0358358142995186,0.0181743982589836,0.0667351796318086,0.337560885115253,0.214412615425067
1,2,2.8781256,0.670797922705037,0,0,1,0,0,0,0,0,1,1,1,0.0856659822245833,0.0848082244093552,0.0863350366917405,0.0153460954524987,0.035363323477457,0.0174286369852313,0.0667351796318086,0.316011094992709,0.207504764981308
1,3,2.6471197,0.65472725551041,0.1,0.05,0.95,0,0,0,0,0,1,1,1,0.0856659822245833,0.0859802083722193,0.0857539373193409,0.0153460954524987,0.0354099783406552,0.0131089906341897,0.0667351796318086,0.328529376183982,0.187408040138826
1,4,2.6253858,1.80612164510318,0.05,0.1,1.05,0,0,0,0,0,1,1,1,0.0856659822245833,0.0877345051296045,0.0942461327971802,0.0153460954524987,0.0397444503920346,0.0478916714923171,0.0667351796318086,0.375636244683266,0.288852053512387
1,5,2.5596928,11.8307621602424,0.127152243232597,0.0760086745418511,1.10549250486576,-0.0285881582173705,-0.0242609025998586,-0.0929095438433372,-0.036681173351093,0.0205451787926335,0.986120463520198,1.0846133740531,0.905279971207736,0.0856659822245833,0.144476178279892,0.129487342346794,0.0153460954524987,0.0918417779156944,0.111615039773656,0.0667351796318086,0.640853089978116,0.475111269761837
1,6,2.6227474,8.89837957902982,0.0076865255470928,0.0934995311111081,1.17233744450335,-0.0313614444635381,0.124772543890848,-0.0637870498357744,-0.0365462250330313,-0.0189823705253833,0.86938528502692,1.02776927626073,1.04325490673922,0.0856659822245833,0.143523964054749,0.112534134071129,0.0153460954524987,0.0988348984861238,0.0816066987828209,0.0667351796318086,0.457126505324714,0.24714078216552
1,7,2.6077329,20.3501141024805,0.086916650667199,0.0158548808098047,1.08758438639886,0.0370670845037322,0.0360877695341811,0.0170177861054805,0.054586911890681,0.00393547489655359,0.883328982518045,1.12225407133228,1.04666583215958,0.0856659822245833,0.204113244087658,0.157276051341594,0.0153460954524987,0.200348824883725,0.151984790844067,0.0667351796318086,0.382695107990527,0.312235181813895
1,8,2.6405642,9.47067083992907,0.056521667993302,0.0337319706759639,1.08856201327318,-0.0976136161757938,0.0244289689843879,-0.0311551732271528,-0.021707640796045,-0.00800441998336803,1.01878858457677,0.963785013308657,1.04327208291171,0.0856659822245833,0.117354432465056,0.148980536817458,0.0153460954524987,0.080109874761444,0.14079802540818,0.0667351796318086,0.357563259742858,0.811519770862819
2,1,2.6236729,0.678964298152415,0.05,0.0333333333333333,0.983333333333333,0,0,0,0,0,1,1,1,0.0856659822245833,0.0854454189752584,0.0858601756016095,0.0153460954524987,0.0354119422832177,0.014411698853992,0.0667351796318086,0.326953648767453,0.201216497663806
2,2,2.5676851,0.670797922705037,0,0,1,0,0,0,0,0,1,1,1,0.0856659822245833,0.0848082244093552,0.0863350366917405,0.0153460954524987,0.035363323477457,0.0174286369852313,0.0667351796318086,0.316011094992709,0.207504764981308
2,3,4.0203824,0.65472725551041,0.1,0.05,0.95,0,0,0,0,0,1,1,1,0.0856659822245833,0.0859802083722193,0.0857539373193409,0.0153460954524987,0.0354099783406552,0.0131089906341897,0.0667351796318086,0.328529376183982,0.187408040138826
2,4,5.910898,1.80612164510318,0.05,0.1,1.05,0,0,0,0,0,1,1,1,0.0856659822245833,0.0877345051296045,0.0942461327971802,0.0153460954524987,0.0397444503920346,0.0478916714923171,0.0667351796318086,0.375636244683266,0.288852053512387
2,5,5.8899004,1.21911703701271,0.0463801075467636,0.0373908527311082,0.951779226458177,-0.0085513174131579,0.0197426966631798,-0.0183027667384083,-0.00568105130040102,0.00695163726125353,1.00421438410127,0.983617443209091,1.0161442515484,0.0856659822245833,0.0872923647823787,0.0937095169791741,0.0153460954524987,0.0404282650285609,0.043734215957568,0.0667351796318086,0.307535736194018,0.195370149402902
2,6,5.8116432,0.643323119259106,0,0.0939738621053691,0.951614277797505,0.00829634851071835,0.00278418341329689,0.0107375735495384,-0.0115921846932296,-0.00402188878644825,0.991175204266177,1.01077358358295,1.01472572332057,0.0856659822245833,0.0845328550770652,0.0853678204269469,0.0153460954524987,0.0378672638597953,0.0104045194365561,0.0667351796318086,0.297269917166067,0.179741279333903
2,7,5.9279,2.71228976883849,0.180288076940434,0.0106276577890383,1.01564319290949,-0.0304903401457448,0.00084177525453443,-0.00288369040343753,0.0158682292737701,-0.00634690219219603,1.01684963317748,1.01565095434666,0.992765501385886,0.0856659822245833,0.0939024736143481,0.0957495769112619,0.0153460954524987,0.0441225538418652,0.051798726016293,0.0667351796318086,0.426820309064945,0.351332096716299
2,8,5.7973064,0.896854101519498,0.0622746781555313,0.0843700251846656,0.975904873480162,-0.00187389004088639,0.000117588335101536,-0.00150987853471532,0.00657244605776037,-0.0035610779308971,1.01743167573035,0.998675493855337,0.991385943930118,0.0856659822245833,0.0868189600101097,0.0872568837283924,0.0153460954524987,0.0373541899765486,0.0238654992249289,0.0667351796318086,0.334734071856892,0.223764681040621
